31530,39179,20026,17404,17377,15139,13770,12140,12877,10277,9653,6796,2945,0,17551,17625,6698,9357,13865,19424,15717,19409,22317,13667,15955,19908,19532,27696,24869,28038,31328,28130,37536
18182,25831,6678,4056,4029,6846,5477,3842,4070,9099,7771,13198,12639,16652,0,3931,12155,14813,19321,24880,21173,24865,27773,19123,21411,25365,24989,33153,30325,33494,16609,33586,42993
19971,27620,8467,5845,5818,8635,7266,5631,5859,10888,9560,14987,14428,18441,1786,0,13944,16602,21110,26669,22962,26654,29562,20912,23200,27154,26778,34942,32114,35283,18398,35375,44782
33915,41564,22411,19789,19762,17524,16155,14525,15262,12662,12038,9181,9203,13216,19936,20010,0,2658,7166,12726,9018,12710,15618,6968,9257,13210,12834,20998,18170,21340,24630,21431,30838
32155,39804,20651,18029,18002,15764,14394,12765,13502,10902,10278,7421,7442,11455,18176,18250,7632,0,4508,13239,6780,13224,16132,7482,9770,13724,13348,21511,18684,21853,25143,21944,31352
34407,42056,22902,20280,20254,18015,16646,0,15754,13153,12529,9672,9694,13707,20428,20502,9884,6651,0,15492,11785,15477,18385,9734,12023,15976,15601,23764,20937,24106,27396,24197,33605
31544,39193,20040,17418,17391,15153,13784,12155,12892,10291,9667,6810,6832,10845,17565,17639,7022,1759,6267,0,10292,13984,16892,9240,10531,14484,14108,22272,19445,22613,25903,22705,32112
35867,43516,24363,21741,21714,19476,18107,16478,17215,14614,13990,11133,11155,15168,21888,21962,11345,6082,10590,4323,0,6875,9783,2188,4477,8431,8055,16219,13391,16560,19850,16651,26059
39254,46903,27750,25128,25101,22864,21494,19865,20602,18002,17378,14521,14543,18556,25275,25349,14732,9470,13978,7710,3771,0,6704,5541,7830,7077,11407,19572,16744,19913,23203,20004,29412
41056,48705,29552,26930,26903,24666,23296,21667,22404,19804,19180,16323,16345,20358,27077,27151,16535,11272,15780,9512,5573,1802,0,7343,9632,8880,13209,21374,18546,21715,25005,21806,31214
37301,44950,25797,23175,23148,20910,19541,17911,18648,16048,15424,12567,12589,16602,23322,23396,12779,7516,12024,5757,4788,8480,11388,0,2288,6242,5866,14030,11202,14371,17661,14463,23870
40429,48078,28925,26303,26276,24038,22668,21039,21776,19176,18552,15695,15717,19730,26450,26524,15907,10643,15152,8884,7916,11608,14516,7737,0,3954,3578,11741,8914,12083,15373,12174,21582
39915,47564,28411,25789,25762,23524,22154,20525,21262,18662,18038,15181,15203,19216,25936,26010,15393,10130,14638,8370,7402,11094,14002,7222,5121,0,3703,11867,9039,12208,15498,12300,21707
39784,47433,28280,25658,25631,23393,22024,20395,21132,18531,17907,15050,15072,19085,25805,25879,15262,9999,14507,8240,7272,10964,13872,7093,4991,3341,0,11752,8924,12093,15383,12185,21592
